PATTERN,SUGGESTED-PART,COUNT,EXAMPLES,PIECE-DIRS,COMMENTS
1812-Tchaik-10-29-CELLO-1,VC-1,2,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-1.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-1.pdf,2023-3-Fall/1812 Overture | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
1812-Tchaik-10-29-CELLO-2,VC-2,2,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-2.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-2.pdf,2023-3-Fall/1812 Overture | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
1812-Tchaik-10-29-SCORE,SCORE,2,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-SCORE.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-SCORE.pdf,2023-3-Fall/1812 Overture | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
1812-Tchaik-10-29-VIOLA,VA,1,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLA.pdf,2023-3-Fall/1812 Overture,
1812-Tchaik-10-29-VIOLIN-1,VN-1,2,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-1.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-1.pdf,2023-3-Fall/1812 Overture | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
1812-Tchaik-10-29-VIOLIN-2,VN-2,1,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-2.pdf,2023-3-Fall/1812 Overture,
1812-Tchaik-10-29-VIOLIN-3,VN-3,1,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-3.pdf,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,
2025-04-02-math,,1,2025-1-Winter/Queen-of-Night-Mozart/Mila_s Work/2025-04-02_math.pdf,2025-1-Winter/Queen-of-Night-Mozart,
Air-G-String-Rev-1,,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1.pdf,2024-2-Spring/Bach - Air on the G String,
Air-G-String-Rev-1-Cello-1,VC-1,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Cello-1.pdf,2024-2-Spring/Bach - Air on the G String,
Air-G-String-Rev-1-Cello-2,VC-2,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Cello-2.pdf,2024-2-Spring/Bach - Air on the G String,
Air-G-String-Rev-1-Viola,VA,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Viola.pdf,2024-2-Spring/Bach - Air on the G String,
Air-G-String-Rev-1-Violin-1,VN-1,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Violin-1.pdf,2024-2-Spring/Bach - Air on the G String,
Air-G-String-Rev-1-Violin-2,VN-2,1,2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Violin-2.pdf,2024-2-Spring/Bach - Air on the G String,
Bartok-Romanian-Dances-CELLO,VC,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-1/Bartok-Romanian-Dances-CELLO.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,
Bartok-Romanian-Dances-SCORE,SCORE,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-1/Bartok-Romanian-Dances-SCORE.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,
Bartok-Romanian-Dances-Ver-2-SCORE,SCORE,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-2/Bartok-Romanian-Dances-Ver-2-SCORE.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,
Bartok-Romanian-Dances-Ver-2-VIOLA,VA,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-2/Bartok-Romanian-Dances-Ver-2-VIOLA.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,
Bartok-Romanian-Dances-Ver-2-VIOLIN-2,VN-2,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-2/Bartok-Romanian-Dances-Ver-2-VIOLIN-2.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,
Bartok-Romanian-Dances-Ver-2-VIOLIN-SOLO,,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-2/Bartok-Romanian-Dances-Ver-2-VIOLIN-SOLO.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,
Bartok-Romanian-Dances-VIOLA,VA,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-1/Bartok-Romanian-Dances-VIOLA.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,
Bartok-Romanian-Dances-VIOLIN-1,VN-1,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-1/Bartok-Romanian-Dances-VIOLIN-1.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,
Bartok-Romanian-Dances-VIOLIN-SOLO,,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-1/Bartok-Romanian-Dances-VIOLIN-SOLO.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,
Brandenburg-3-[ver-1]-CELLO,VC,2,2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-CELLO.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-CELLO.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-[ver-1]-PIANO,PF,2,2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-PIANO.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-PIANO.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-[ver-1]-SCORE,SCORE,2,2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-SCORE.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-SCORE.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-[ver-1]-VIOLA,VA,2,2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-VIOLA.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-VIOLA.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-[ver-1]-VIOLIN-1,VN-1,2,2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-VIOLIN-1.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-VIOLIN-1.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-[ver-1]-VIOLIN-2,VN-2,1,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-VIOLIN-2.pdf,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-Bass,DB,2,2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Bass.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Bass.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-Cello,VC,2,2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Cello.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Cello.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-Mvt-3-Rev-5-Cello,VC,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3/Brandenburg-3-Mvt-3-Rev-5-Cello.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,
Brandenburg-3-Mvt-3-Rev-5-SCORE,SCORE,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3/Brandenburg-3-Mvt-3-Rev-5-SCORE.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,
Brandenburg-3-Mvt-3-Rev-5-Viola-1,VA,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3/Brandenburg-3-Mvt-3-Rev-5-Viola-1.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,
Brandenburg-3-Mvt-3-Rev-5-Viola-2,VA,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3/Brandenburg-3-Mvt-3-Rev-5-Viola-2.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,
Brandenburg-3-Mvt-3-Rev-5-Viola-3,VA,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3/Brandenburg-3-Mvt-3-Rev-5-Viola-3.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,
Brandenburg-3-Mvt-3-Rev-5-Violin-1,VN-1,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3/Brandenburg-3-Mvt-3-Rev-5-Violin-1.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,
Brandenburg-3-Mvt-3-Rev-5-Violin-2,VN-2,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3/Brandenburg-3-Mvt-3-Rev-5-Violin-2.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,
Brandenburg-3-Mvt-3-Rev-6-Viola-1,VA,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3/Brandenburg-3-Mvt-3-Rev-6-Viola-1.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,
Brandenburg-3-Viola,VA,1,2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Viola.pdf,2024-1-Winter/Brandenburg-3-Bach,
Brandenburg-3-Violin-1,VN-1,2,2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-1.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-1.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-Violin-2,VN-2,2,2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-2.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-2.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Brandenburg-3-Violin-3,VN-3,2,2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-3.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-3.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,
Carmen-Habanera-[ver-3]-Cello-1,VC-1,1,2024-1-Winter/Habanera-Bizet/Carmen-Habanera-[ver-3]-Cello-1.pdf,2024-1-Winter/Habanera-Bizet,
Carmen-Habanera-[ver-3]-Cello-2,VC-2,1,2024-1-Winter/Habanera-Bizet/Carmen-Habanera-[ver-3]-Cello-2.pdf,2024-1-Winter/Habanera-Bizet,
Carmen-Habanera-[ver-3]-Score,SCORE,1,2024-1-Winter/Habanera-Bizet/Carmen-Habanera-[ver-3]-Score.pdf,2024-1-Winter/Habanera-Bizet,
Carmen-Habanera-[ver-3]-Viola,VA,1,2024-1-Winter/Habanera-Bizet/Carmen-Habanera-[ver-3]-Viola.pdf,2024-1-Winter/Habanera-Bizet,
Carmen-Habanera-[ver-3]-Violin-1,VN-1,1,2024-1-Winter/Habanera-Bizet/Carmen-Habanera-[ver-3]-Violin-1.pdf,2024-1-Winter/Habanera-Bizet,
Cello-I-Mia-&-Sebastian,VC,2,2023-3-Fall/Mia & Sebastian_s Theme/Cello I Mia & Sebastian.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme/Cello I Mia & Sebastian.pdf,2023-3-Fall/Mia & Sebastian_s Theme | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme,
Cello-II-Mia-&-Sebastian,VC,1,2023-3-Fall/Mia & Sebastian_s Theme/Cello II Mia & Sebastian.pdf,2023-3-Fall/Mia & Sebastian_s Theme,
Cellos-Jingle-Bells-SRYSO,,1,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Jingle Bells/Cellos - Jingle Bells - SRYSO.pdf,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Jingle Bells,
Chorus-Judas-Maccabaeus-SCORE,SCORE,1,2025-3-Fall/PRE-ORCHESTRA_ 2025 Fall SRYSO/Judas-Maccabaeus/Chorus-Judas-Maccabaeus-SCORE.pdf,2025-3-Fall/PRE-ORCHESTRA_ 2025 Fall SRYSO/Judas-Maccabaeus,
Chorus-Judas-Maccabaeus-VIOLIN-1,VN-1,1,2025-3-Fall/PRE-ORCHESTRA_ 2025 Fall SRYSO/Judas-Maccabaeus/Chorus-Judas-Maccabaeus-VIOLIN-1.pdf,2025-3-Fall/PRE-ORCHESTRA_ 2025 Fall SRYSO/Judas-Maccabaeus,
Chorus-Judas-Maccabaeus-VIOLIN-2,VN-2,1,2025-3-Fall/PRE-ORCHESTRA_ 2025 Fall SRYSO/Judas-Maccabaeus/Chorus-Judas-Maccabaeus-VIOLIN-2.pdf,2025-3-Fall/PRE-ORCHESTRA_ 2025 Fall SRYSO/Judas-Maccabaeus,
Copy-of-Corelli-Xmas-Cto-G-Min-Op-6-No-8-Viola,VA,1,2024-3-Fall/Corelli-xmas-cto/Copy of Corelli-Xmas-Cto-G-Min-Op-6-No-8-Viola.pdf,2024-3-Fall/Corelli-xmas-cto,
Copy-of-Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-2-Rip,VN-2,1,2024-3-Fall/Corelli-xmas-cto/Copy of Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-2-Rip.pdf,2024-3-Fall/Corelli-xmas-cto,
Corelli-Xmas-Cello-Viola,VA,1,2024-3-Fall/Corelli-xmas-cto/Xmas-Cto-Cello-Viola/Corelli-Xmas-Cello-Viola.pdf,2024-3-Fall/Corelli-xmas-cto,
Corelli-Xmas-Cto-Cello-Viola,VA,1,2024-3-Fall/Corelli-xmas-cto/Xmas-Cto-Cello-Viola/Corelli-Xmas-Cto-Cello-Viola.pdf,2024-3-Fall/Corelli-xmas-cto,
Corelli-Xmas-Cto-G-Min-Op-6-No-8-Basso,,1,2024-3-Fall/Corelli-xmas-cto/Corelli-Xmas-Cto-G-Min-Op-6-No-8-Basso.pdf,2024-3-Fall/Corelli-xmas-cto,
Corelli-Xmas-Cto-G-Min-Op-6-No-8-Cello-Solo,VC,1,2024-3-Fall/Corelli-xmas-cto/Corelli-Xmas-Cto-G-Min-Op-6-No-8-Cello-Solo.pdf,2024-3-Fall/Corelli-xmas-cto,
Corelli-Xmas-Cto-G-Min-Op-6-No-8-Viola,VA,1,2024-3-Fall/Corelli-xmas-cto/Corelli-Xmas-Cto-G-Min-Op-6-No-8-Viola.pdf,2024-3-Fall/Corelli-xmas-cto,
Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-1-Solo,VN-1,1,2024-3-Fall/Corelli-xmas-cto/Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-1-Solo.pdf,2024-3-Fall/Corelli-xmas-cto,
Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-2-Rip,VN-2,1,2024-3-Fall/Corelli-xmas-cto/Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-2-Rip.pdf,2024-3-Fall/Corelli-xmas-cto,
Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-2-Solo,VN-2,1,2024-3-Fall/Corelli-xmas-cto/Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-2-Solo.pdf,2024-3-Fall/Corelli-xmas-cto,
Corelli-Xmas-Viola-Vn-2-Rip,VN-2,1,2024-3-Fall/Corelli-xmas-cto/Xmas-Cto-Cello-Viola/Corelli-Xmas-Viola-Vn-2-Rip.pdf,2024-3-Fall/Corelli-xmas-cto,
Dvorak-Serenade-Waltz-CELLO,VC,1,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Dvorak-Serenade-Waltz/Dvorak-Serenade-Waltz-CELLO.pdf,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Dvorak-Serenade-Waltz,
