PATTERN,SUGGESTED-PART,COUNT,EXAMPLES,PIECE-DIRS,COMMENTS
Queen-Night-Ver-1-Viola-1,VA,1,2025-1-Winter/Queen-of-Night-Mozart/Queen-Night-Ver-1-Viola-1.pdf,2025-1-Winter/Queen-of-Night-Mozart,
Queen-Night-Ver-1-Viola-2,VA,1,2025-1-Winter/Queen-of-Night-Mozart/Queen-Night-Ver-1-Viola-2.pdf,2025-1-Winter/Queen-of-Night-Mozart,
Queen-Night-Ver-1-Violin-1,VN-1,1,2025-1-Winter/Queen-of-Night-Mozart/Queen-Night-Ver-1-Violin-1.pdf,2025-1-Winter/Queen-of-Night-Mozart,
Queen-Night-Ver-1-Violin-2,VN-2,1,2025-1-Winter/Queen-of-Night-Mozart/Queen-Night-Ver-1-Violin-2.pdf,2025-1-Winter/Queen-of-Night-Mozart,
Queen-Night-Ver-1-Violin-3,VN-3,1,2025-1-Winter/Queen-of-Night-Mozart/Queen-Night-Ver-1-Violin-3.pdf,2025-1-Winter/Queen-of-Night-Mozart,
Rachmaninoff-Prelude-CELLO,VC,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude/Rachmaninoff-Prelude-CELLO.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude,
Rachmaninoff-Prelude-SCORE,SCORE,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude/Rachmaninoff-Prelude-SCORE.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude,
Rachmaninoff-Prelude-VIOLA,VA,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude/Rachmaninoff-Prelude-VIOLA.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude,
Rachmaninoff-Prelude-VIOLIN-1,VN-1,1,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude/Rachmaninoff-Prelude-VIOLIN-1.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude,
Sadness-Sorrow-Rev-1-Cello-1,VC-1,1,2024-2-Spring/Naruto - Sadness & Sorrow/Sadness-Sorrow-Rev-1-Cello-1.pdf,2024-2-Spring/Naruto - Sadness & Sorrow,
Sadness-Sorrow-Rev-1-Cello-2,VC-2,1,2024-2-Spring/Naruto - Sadness & Sorrow/Sadness-Sorrow-Rev-1-Cello-2.pdf,2024-2-Spring/Naruto - Sadness & Sorrow,
Sadness-Sorrow-Rev-1-Violin-1,VN-1,1,2024-2-Spring/Naruto - Sadness & Sorrow/Sadness-Sorrow-Rev-1-Violin-1.pdf,2024-2-Spring/Naruto - Sadness & Sorrow,
Sadness-Sorrow-Rev-1-Violin-2,VN-2,1,2024-2-Spring/Naruto - Sadness & Sorrow/Sadness-Sorrow-Rev-1-Violin-2.pdf,2024-2-Spring/Naruto - Sadness & Sorrow,
Saint-Saens-3-Mov-2-VER-1,,1,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2/Saint-Saens-3-Mov-2-VER-1.pdf,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2,
Saint-Saens-3-Mov-2-VER-1-Cello-1,VC-1,1,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2/Saint-Saens-3-Mov-2-VER-1-Cello-1.pdf,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2,
Saint-Saens-3-Mov-2-VER-1-Cello-2,VC-2,1,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2/Saint-Saens-3-Mov-2-VER-1-Cello-2.pdf,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2,
Saint-Saens-3-Mov-2-VER-1-Violin-1,VN-1,1,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2/Saint-Saens-3-Mov-2-VER-1-Violin-1.pdf,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2,
Saint-Saens-3-Mov-2-VER-1-Violin-2,VN-2,1,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2/Saint-Saens-3-Mov-2-VER-1-Violin-2.pdf,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2,
Saint-Saens-3-Mov-2-VER-2,,1,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2/Violin-2-B-PARTS-HERE/Saint-Saens-3-Mov-2-VER-2.pdf,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2,
Saint-Saens-3-Mov-2-VER-2-Violin-2B,,1,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2/Violin-2-B-PARTS-HERE/Saint-Saens-3-Mov-2-VER-2-Violin-2B.pdf,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2,
Star-Wars-Ver-3-Cello-1,VC-1,1,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme/Star-Wars-Ver-3-Cello-1.pdf,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme,
Star-Wars-Ver-3-Cello-2,VC-2,1,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme/Star-Wars-Ver-3-Cello-2.pdf,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme,
Star-Wars-Ver-3-SCORE,SCORE,1,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme/Star-Wars-Ver-3-SCORE.pdf,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme,
Star-Wars-Ver-3-Viola,VA,1,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme/Star-Wars-Ver-3-Viola.pdf,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme,
Star-Wars-Ver-3-Violin-2,VN-2,1,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme/Star-Wars-Ver-3-Violin-2.pdf,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme,
Swan-Lake-2nd-Violin,,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky/Swan Lake - 2nd Violin.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky,
Swan-Lake-3rd-Violin-(Viola-[TC]),VN-3,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky/Swan Lake - 3rd Violin (Viola [TC]).pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky,
Swan-Lake-Cello,VC,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky/Swan Lake - Cello.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky,
Swan-Lake-Score,SCORE,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky/Swan Lake - Score.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky,
Swan-Lake-String-Bass,DB,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky/Swan Lake - String Bass.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky,
Swan-Lake-Viola,VA,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky/Swan Lake - Viola.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky,
Tchai-Andante-Bass-(Cello-2),VC-2,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante/Tchai-Andante-Bass-(Cello-2).pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante,
Tchai-Andante-Cello,VC,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante/Tchai-Andante-Cello.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante,
Tchai-Andante-Full-Score,SCORE,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante/Tchai-Andante-Full-Score.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante,
Tchai-Andante-Viola,VA,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante/Tchai-Andante-Viola.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante,
Tchai-Andante-Violin-1,VN-1,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante/Tchai-Andante-Violin-1.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante,
Tchai-Andante-Violin-2,VN-2,1,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante/Tchai-Andante-Violin-2.pdf,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante,
The-Crown-Cello,VC,1,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown/The Crown - Cello.pdf,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown,
The-Crown-Conductor-Score-(Full-Score),SCORE,1,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown/The Crown - Conductor Score (Full Score).pdf,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown,
The-Crown-Viola,VA,1,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown/The Crown - Viola.pdf,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown,
The-Crown-Violin-2,VN-2,1,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown/The Crown - Violin 2.pdf,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown,
Viola-Eine-Kleine-REV-3,VA,1,2024-2-Spring/Mozart -Eine Kleine Nachtmusik/Viola Eine-Kleine-REV-3.pdf,2024-2-Spring/Mozart -Eine Kleine Nachtmusik,
Viola-Mia-&-Sebastian,VA,2,2023-3-Fall/Mia & Sebastian_s Theme/Viola Mia & Sebastian.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme/Viola Mia & Sebastian.pdf,2023-3-Fall/Mia & Sebastian_s Theme | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme,
Violas-Jingle-Bells-SRYSO,,1,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Jingle Bells/Violas - Jingle Bells - SRYSO.pdf,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Jingle Bells,
Violin-I-Eine-Kleine-REV-3,VN-1,1,2024-2-Spring/Mozart -Eine Kleine Nachtmusik/Violin I Eine-Kleine-REV-3.pdf,2024-2-Spring/Mozart -Eine Kleine Nachtmusik,
Violin-I-Mia-&-Sebastian,VN-1,1,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme/Violin I Mia & Sebastian.pdf,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme,
Violin-II-Eine-Kleine-REV-3,VN-2,1,2024-2-Spring/Mozart -Eine Kleine Nachtmusik/Violin II Eine-Kleine-REV-3.pdf,2024-2-Spring/Mozart -Eine Kleine Nachtmusik,
Violin-II-Mia-&-Sebastian,VN-2,2,2023-3-Fall/Mia & Sebastian_s Theme/Violin II Mia & Sebastian.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme/Violin II Mia & Sebastian.pdf,2023-3-Fall/Mia & Sebastian_s Theme | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme,
Violin-III-Mia-&-Sebastian,VN-3,2,2023-3-Fall/Mia & Sebastian_s Theme/Violin III Mia & Sebastian.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme/Violin III Mia & Sebastian.pdf,2023-3-Fall/Mia & Sebastian_s Theme | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme,
Violins-1-Jingle-Bells-SRYSO,,1,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Jingle Bells/Violins_1 - Jingle Bells - SRYSO.pdf,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Jingle Bells,
Violins-2-Jingle-Bells-SRYSO,,1,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Jingle Bells/Violins_2 - Jingle Bells - SRYSO.pdf,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Jingle Bells,
Vivaldi-Cto-2-Vlns-RV-522-BASS-LARGE,DB,1,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)/Vivaldi-Cto-2-Vlns-RV-522-BASS-LARGE.pdf,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY),
Vivaldi-Cto-2-Vlns-RV-522-Cello,VC,1,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)/Vivaldi-Cto-2-Vlns-RV-522-Cello.pdf,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY),
Vivaldi-Cto-2-Vlns-RV-522-Solo-Vln-2,,1,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)/Vivaldi-Cto-2-Vlns-RV-522-Solo-Vln-2.pdf,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY),
Vivaldi-Cto-2-Vlns-RV-522-Viola,VA,1,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)/Vivaldi-Cto-2-Vlns-RV-522-Viola.pdf,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY),
Vivaldi-Cto-2-Vlns-RV-522-VIOLA-LARGE,VA,1,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)/Vivaldi-Cto-2-Vlns-RV-522-VIOLA-LARGE.pdf,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY),
Vivaldi-Cto-2-Vlns-RV-522-Violin-1,VN-1,1,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)/Vivaldi-Cto-2-Vlns-RV-522-Violin-1.pdf,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY),
Vivaldi-Cto-2-Vlns-VER-2-RV-522,,1,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)/Vivaldi-Cto-2-Vlns-VER-2-RV-522.pdf,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY),
Vivaldi-RV-565-Ver-1-Cello,VC,1,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)/Vivaldi-RV-565-Ver-1-Cello.pdf,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY),
Vivaldi-RV-565-Ver-1-Cello-Solo,VC,1,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)/Vivaldi-RV-565-Ver-1-Cello-Solo.pdf,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY),
Vivaldi-RV-565-Ver-1-Viola,VA,1,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)/Vivaldi-RV-565-Ver-1-Viola.pdf,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY),
Vivaldi-RV-565-Ver-1-Violin-1,VN-1,1,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)/Vivaldi-RV-565-Ver-1-Violin-1.pdf,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY),
Vivaldi-RV-565-Ver-1-Violin-1-Solo,VN-1,1,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)/Vivaldi-RV-565-Ver-1-Violin-1-Solo.pdf,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY),
Vivaldi-RV-565-Ver-1-Violin-2,VN-2,1,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)/Vivaldi-RV-565-Ver-1-Violin-2.pdf,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY),
Vivaldi-RV-565-Ver-1-Violin-2-Solo,VN-2,1,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)/Vivaldi-RV-565-Ver-1-Violin-2-Solo.pdf,2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY),
William-Tell-VER-1,,1,2025-2-Spring/Rossini-William-Tell/William-Tell-VER-1.pdf,2025-2-Spring/Rossini-William-Tell,
William-Tell-VER-1-Cello-1,VC-1,1,2025-2-Spring/Rossini-William-Tell/William-Tell-VER-1-Cello-1.pdf,2025-2-Spring/Rossini-William-Tell,
William-Tell-VER-1-Cello-2,VC-2,1,2025-2-Spring/Rossini-William-Tell/William-Tell-VER-1-Cello-2.pdf,2025-2-Spring/Rossini-William-Tell,
William-Tell-VER-1-Viola,VA,1,2025-2-Spring/Rossini-William-Tell/William-Tell-VER-1-Viola.pdf,2025-2-Spring/Rossini-William-Tell,
William-Tell-VER-1-Violin-2,VN-2,1,2025-2-Spring/Rossini-William-Tell/William-Tell-VER-1-Violin-2.pdf,2025-2-Spring/Rossini-William-Tell,
William-Tell-VER-1-Violin-3,VN-3,1,2025-2-Spring/Rossini-William-Tell/William-Tell-VER-1-Violin-3.pdf,2025-2-Spring/Rossini-William-Tell,
William-Tell-VER-2,,1,2025-2-Spring/Rossini-William-Tell/Violin-2-B-PARTS-HERE/William-Tell-VER-2.pdf,2025-2-Spring/Rossini-William-Tell,
Wishing-SCORE,SCORE,1,2024-1-Winter/Wishing-Ffrench/Wishing-2024-02-15-SCORE.pdf,2024-1-Winter/Wishing-Ffrench,
Wishing-Solo-Piano,PF,1,2024-1-Winter/Wishing-Ffrench/Wishing-Solo-Piano.pdf,2024-1-Winter/Wishing-Ffrench,
Wishing-Ver-4-SCORE,SCORE,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench/Wishing-Ver-4-SCORE.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench,
Wishing-Ver-4-Vc-1,VC-1,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench/Wishing-Ver-4-Vc-1.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench,
Wishing-Ver-4-Vc-2,VC-2,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench/Wishing-Ver-4-Vc-2.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench,
Wishing-Ver-4-Vla,,1,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench/Wishing-Ver-4-Vla.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench,
Wishing-Viola,VA,1,2024-1-Winter/Wishing-Ffrench/Wishing-2024-02-15-Viola.pdf,2024-1-Winter/Wishing-Ffrench,
Wishing-Violin-1,VN-1,1,2024-1-Winter/Wishing-Ffrench/Wishing-2024-02-15-Violin-1.pdf,2024-1-Winter/Wishing-Ffrench,
Wishing-Violoncello-2,,1,2024-1-Winter/Wishing-Ffrench/Wishing-2024-02-15-Violoncello-2.pdf,2024-1-Winter/Wishing-Ffrench,
