PART-LABEL,COUNT,CONFIDENCE,EXAMPLES,PIECE-DIRS
2nd Violin,1,explicit,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky/Swan Lake - 2nd Violin.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky
3rd Violin,1,explicit,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky/Swan Lake - 3rd Violin (Viola [TC]).pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky
Bass,3,explicit,2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Bass.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Bass.pdf | 2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky/Swan Lake - String Bass.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach | 2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky
Basso,1,explicit,2024-3-Fall/Corelli-xmas-cto/Corelli-Xmas-Cto-G-Min-Op-6-No-8-Basso.pdf,2024-3-Fall/Corelli-xmas-cto
Cello,19,explicit,2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-CELLO.pdf | 2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Cello.pdf | 2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)/Vivaldi-RV-565-Ver-1-Cello.pdf | 2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)/Vivaldi-Cto-2-Vlns-RV-522-Cello.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-CELLO.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Cello.pdf | 2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Dvorak-Serenade-Waltz/Dvorak-Serenade-Waltz-CELLO.pdf | 2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Eroica/Eroica - Cello.pdf,2024-1-Winter/Brandenburg-3-Bach | 2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY) | 2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY) | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach | 2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Dvorak-Serenade-Waltz | 2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Eroica | 2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Holberg-Suite-Prelude | 2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown
Cello Solo,2,explicit,2024-3-Fall/Corelli-xmas-cto/Corelli-Xmas-Cto-G-Min-Op-6-No-8-Cello-Solo.pdf | 2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)/Vivaldi-RV-565-Ver-1-Cello-Solo.pdf,2024-3-Fall/Corelli-xmas-cto | 2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)
Cello-1,16,explicit,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-1.pdf | 2024-1-Winter/Habanera-Bizet/Carmen-Habanera-[ver-3]-Cello-1.pdf | 2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Cello-1.pdf | 2024-2-Spring/Naruto - Sadness & Sorrow/Sadness-Sorrow-Rev-1-Cello-1.pdf | 2024-3-Fall/Finlandia/Finlandia-Ver-2-Cello-1.pdf | 2024-3-Fall/Finlandia/VERSION-1/Finlandia-Ver-1-Cello-1.pdf | 2024-3-Fall/Up-Theme-Married-Life/Married-Life-7-Voices-Ver-1-Cello-1.pdf | 2025-1-Winter/Jurassic-Park/Jurassic-Ver-1-Cello-1.pdf,2023-3-Fall/1812 Overture | 2024-1-Winter/Habanera-Bizet | 2024-2-Spring/Bach - Air on the G String | 2024-2-Spring/Naruto - Sadness & Sorrow | 2024-3-Fall/Finlandia | 2024-3-Fall/Up-Theme-Married-Life | 2025-1-Winter/Jurassic-Park | 2025-1-Winter/Queen-of-Night-Mozart
Cello-2,15,explicit,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-CELLO-2.pdf | 2024-1-Winter/Habanera-Bizet/Carmen-Habanera-[ver-3]-Cello-2.pdf | 2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Cello-2.pdf | 2024-2-Spring/Naruto - Sadness & Sorrow/Sadness-Sorrow-Rev-1-Cello-2.pdf | 2024-3-Fall/Finlandia/VERSION-1/Finlandia-Ver-1-Cello-2.pdf | 2024-3-Fall/Mozart-40/Mozart-40-7-Voices-Ver-2-Cello-2.pdf | 2024-3-Fall/Up-Theme-Married-Life/Married-Life-7-Voices-Ver-1-Cello-2.pdf | 2025-1-Winter/Jurassic-Park/Jurassic-Ver-1-Cello-2.pdf,2023-3-Fall/1812 Overture | 2024-1-Winter/Habanera-Bizet | 2024-2-Spring/Bach - Air on the G String | 2024-2-Spring/Naruto - Sadness & Sorrow | 2024-3-Fall/Finlandia | 2024-3-Fall/Mozart-40 | 2024-3-Fall/Up-Theme-Married-Life | 2025-1-Winter/Jurassic-Park
Piano,4,explicit,2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-PIANO.pdf | 2024-1-Winter/Wishing-Ffrench/Wishing-Solo-Piano.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-PIANO.pdf | 2026-1-Winter/PRE-ORCHESTRA/Musette/Musette-Piano.pdf,2024-1-Winter/Brandenburg-3-Bach | 2024-1-Winter/Wishing-Ffrench | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach | 2026-1-Winter/PRE-ORCHESTRA/Musette
SCORE,79,assumed-score | explicit,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-SCORE.pdf | 2023-3-Fall/Mia & Sebastian_s Theme/Cello I Mia & Sebastian.pdf | 2023-3-Fall/Mia & Sebastian_s Theme/Cello II Mia & Sebastian.pdf | 2023-3-Fall/Mia & Sebastian_s Theme/Full Score Mia & Sebastian.pdf | 2023-3-Fall/Mia & Sebastian_s Theme/Viola Mia & Sebastian.pdf | 2023-3-Fall/Mia & Sebastian_s Theme/Violin II Mia & Sebastian.pdf | 2023-3-Fall/Mia & Sebastian_s Theme/Violin III Mia & Sebastian.pdf | 2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-SCORE.pdf,2023-3-Fall/1812 Overture | 2023-3-Fall/Mia & Sebastian_s Theme | 2024-1-Winter/Brandenburg-3-Bach | 2024-1-Winter/Habanera-Bizet | 2024-1-Winter/Wishing-Ffrench | 2024-2-Spring/Bach - Air on the G String | 2024-2-Spring/Mozart -Eine Kleine Nachtmusik | 2024-3-Fall/Corelli-xmas-cto
Vibraphone-1,1,explicit,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Interstellar/Interstellar-Vibraphone-1.pdf,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Interstellar
Vibraphone-2,1,explicit,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Interstellar/Interstellar-Vibraphone-2.pdf,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Interstellar
Viola,29,explicit,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLA.pdf | 2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-VIOLA.pdf | 2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Viola.pdf | 2024-1-Winter/Habanera-Bizet/Carmen-Habanera-[ver-3]-Viola.pdf | 2024-1-Winter/Wishing-Ffrench/Wishing-2024-02-15-Viola.pdf | 2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Viola.pdf | 2024-3-Fall/Corelli-xmas-cto/Copy of Corelli-Xmas-Cto-G-Min-Op-6-No-8-Viola.pdf | 2024-3-Fall/Corelli-xmas-cto/Corelli-Xmas-Cto-G-Min-Op-6-No-8-Viola.pdf,2023-3-Fall/1812 Overture | 2024-1-Winter/Brandenburg-3-Bach | 2024-1-Winter/Habanera-Bizet | 2024-1-Winter/Wishing-Ffrench | 2024-2-Spring/Bach - Air on the G String | 2024-3-Fall/Corelli-xmas-cto | 2024-3-Fall/Finlandia | 2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY)
Violas,1,explicit,2025-2-Spring/Djawadi-Game-Thrones/Game-Thrones-VER-1-Violas.pdf,2025-2-Spring/Djawadi-Game-Thrones
VIOLIN-1,34,explicit,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-1.pdf | 2024-1-Winter/Brandenburg-3-Bach/Brandenburg-3-[ver-1]-VIOLIN-1.pdf | 2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-1.pdf | 2024-1-Winter/Habanera-Bizet/Carmen-Habanera-[ver-3]-Violin-1.pdf | 2024-1-Winter/Wishing-Ffrench/Wishing-2024-02-15-Violin-1.pdf | 2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Violin-1.pdf | 2024-2-Spring/Naruto - Sadness & Sorrow/Sadness-Sorrow-Rev-1-Violin-1.pdf | 2024-3-Fall/Finlandia/Finlandia-Ver-2-Violin-1.pdf,2023-3-Fall/1812 Overture | 2024-1-Winter/Brandenburg-3-Bach | 2024-1-Winter/Habanera-Bizet | 2024-1-Winter/Wishing-Ffrench | 2024-2-Spring/Bach - Air on the G String | 2024-2-Spring/Naruto - Sadness & Sorrow | 2024-3-Fall/Finlandia | 2024-3-Fall/Mozart-40
VIOLIN-2,30,explicit,2023-3-Fall/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-2.pdf | 2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-2.pdf | 2024-2-Spring/Bach - Air on the G String/Air-G-String-Rev-1-Violin-2.pdf | 2024-2-Spring/Naruto - Sadness & Sorrow/Sadness-Sorrow-Rev-1-Violin-2.pdf | 2024-3-Fall/Finlandia/Finlandia-Ver-2-Violin-2.pdf | 2024-3-Fall/Finlandia/VERSION-1/Finlandia-Ver-1-Violin-2.pdf | 2024-3-Fall/Mozart-40/Mozart-40-7-Voices-Ver-2-Violin-2.pdf | 2024-3-Fall/Up-Theme-Married-Life/Married-Life-7-Voices-Ver-1-Violin-2.pdf,2023-3-Fall/1812 Overture | 2024-1-Winter/Brandenburg-3-Bach | 2024-2-Spring/Bach - Air on the G String | 2024-2-Spring/Naruto - Sadness & Sorrow | 2024-3-Fall/Finlandia | 2024-3-Fall/Mozart-40 | 2024-3-Fall/Up-Theme-Married-Life | 2025-1-Winter/Jurassic-Park
Violin-2B,1,explicit,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2/Violin-2-B-PARTS-HERE/Saint-Saens-3-Mov-2-VER-2-Violin-2B.pdf,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2
VIOLIN-3,8,explicit,2024-1-Winter/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-3.pdf | 2024-3-Fall/Mozart-40/Mozart-40-7-Voices-Ver-2-Violin-3.pdf | 2024-3-Fall/Up-Theme-Married-Life/Married-Life-7-Voices-Ver-1-Violin-3.pdf | 2025-1-Winter/Jurassic-Park/Jurassic-Ver-1-Violin-3.pdf | 2025-1-Winter/Queen-of-Night-Mozart/Queen-Night-Ver-1-Violin-3.pdf | 2025-2-Spring/Rossini-William-Tell/William-Tell-VER-1-Violin-3.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture/1812-NEW-PARTS-10-29/1812-Tchaik-10-29-VIOLIN-3.pdf | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach/ORIG-PARTS-&-XML-FILES/Brandenburg-3-Violin-3.pdf,2024-1-Winter/Brandenburg-3-Bach | 2024-3-Fall/Mozart-40 | 2024-3-Fall/Up-Theme-Married-Life | 2025-1-Winter/Jurassic-Park | 2025-1-Winter/Queen-of-Night-Mozart | 2025-2-Spring/Rossini-William-Tell | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture | 2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach
VIOLIN-SOLO,2,explicit,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-1/Bartok-Romanian-Dances-VIOLIN-SOLO.pdf | 2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances/BARTOK-VERSION-2/Bartok-Romanian-Dances-Ver-2-VIOLIN-SOLO.pdf,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances
Violins 2-4,1,explicit,2026-1-Winter/PRE-ORCHESTRA/Musette/Musette-Violins-2-4.pdf,2026-1-Winter/PRE-ORCHESTRA/Musette
Violoncello-2,1,explicit,2024-1-Winter/Wishing-Ffrench/Wishing-2024-02-15-Violoncello-2.pdf,2024-1-Winter/Wishing-Ffrench
Vla,1,explicit,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench/Wishing-Ver-4-Vla.pdf,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench
Vln-2,1,explicit,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)/Vivaldi-Cto-2-Vlns-RV-522-Solo-Vln-2.pdf,2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY)
