SEMESTER,ENSEMBLE-GROUP,PIECE-DIR,REL-PATH,PDF-COUNT,MSCZ-COUNT,SUBDIR-COUNT,SUBDIRS,SAMPLE-FILES,FLAGS
2023-3-Fall,,1812 Overture,2023-3-Fall/1812 Overture,6,0,2,1812-NEW-PARTS-10-29 | OLD-PARTS,1812-Tchaik-10-29-VIOLA.pdf | 1812-Tchaik-10-29-CELLO-1.pdf | 1812-Tchaik-10-29-CELLO-2.pdf | 1812-Tchaik-10-29-SCORE.pdf | 1812-Tchaik-10-29-VIOLIN-2.pdf | 1812-Tchaik-10-29-VIOLIN-1.pdf,HAS-SKIP-DIR:OLD-PARTS
2023-3-Fall,,Mia & Sebastian_s Theme,2023-3-Fall/Mia & Sebastian_s Theme,6,1,0,,Full Score Mia & Sebastian.pdf | Cello I Mia & Sebastian.pdf | Viola Mia & Sebastian.pdf | Violin III Mia & Sebastian.pdf | Violin II Mia & Sebastian.pdf | Cello II Mia & Sebastian.pdf | mia_sebastian_s_theme_arrangement.mscz,
2024-1-Winter,,Brandenburg-3-Bach,2024-1-Winter/Brandenburg-3-Bach,11,0,1,ORIG-PARTS-&-XML-FILES,Brandenburg-3-[ver-1]-CELLO.pdf | Brandenburg-3-[ver-1]-SCORE.pdf | Brandenburg-3-[ver-1]-VIOLIN-1.pdf | Brandenburg-3-[ver-1]-VIOLA.pdf | Brandenburg-3-[ver-1]-PIANO.pdf | Brandenburg-3-Cello.pdf | Brandenburg-3-Bass.pdf | Brandenburg-3-Violin-2.pdf,
2024-1-Winter,,Habanera-Bizet,2024-1-Winter/Habanera-Bizet,5,0,0,,Carmen-Habanera-[ver-3]-Viola.pdf | Carmen-Habanera-[ver-3]-Cello-1.pdf | Carmen-Habanera-[ver-3]-Cello-2.pdf | Carmen-Habanera-[ver-3]-Violin-1.pdf | Carmen-Habanera-[ver-3]-Score.pdf,
2024-1-Winter,,Wishing-Ffrench,2024-1-Winter/Wishing-Ffrench,5,0,1,OLD-PARTS,Wishing-2024-02-15-SCORE.pdf | Wishing-Solo-Piano.pdf | Wishing-2024-02-15-Violoncello-2.pdf | Wishing-2024-02-15-Violin-1.pdf | Wishing-2024-02-15-Viola.pdf,HAS-SKIP-DIR:OLD-PARTS
2024-2-Spring,,Bach - Air on the G String,2024-2-Spring/Bach - Air on the G String,6,1,0,,Air-G-String-Rev-1-Violin-2.pdf | Air-G-String-Rev-1-Violin-1.pdf | Air-G-String-Rev-1-Cello-1.pdf | Air-G-String-Rev-1.pdf | Air-G-String-Rev-1-Cello-2.pdf | Air-G-String-Rev-1-Viola.pdf | Air-G-String-Rev-1.mscz,
2024-2-Spring,,Mozart -Eine Kleine Nachtmusik,2024-2-Spring/Mozart -Eine Kleine Nachtmusik,3,1,0,,Violin II Eine-Kleine-REV-3.pdf | Viola Eine-Kleine-REV-3.pdf | Violin I Eine-Kleine-REV-3.pdf | Eine-Kleine-REV-2.mscz,
2024-2-Spring,,Naruto - Sadness & Sorrow,2024-2-Spring/Naruto - Sadness & Sorrow,4,1,0,,Sadness-Sorrow-Rev-1-Cello-2.pdf | Sadness-Sorrow-Rev-1-Violin-1.pdf | Sadness-Sorrow-Rev-1-Cello-1.pdf | Sadness-Sorrow-Rev-1-Violin-2.pdf | Sadness-Sorrow-Rev-1.mscz,
2024-3-Fall,,Corelli-xmas-cto,2024-3-Fall/Corelli-xmas-cto,11,0,2,Corelli-seating-chart | Xmas-Cto-Cello-Viola,Corelli-Xmas-Cto-G-Min-Op-6-No-8-Basso.pdf | Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-1-Solo.pdf | Copy of Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-2-Rip.pdf | Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-2-Rip.pdf | Corelli-Xmas-Cto-G-Min-Op-6-No-8-Viola.pdf | Corelli-Xmas-Cto-G-Min-Op-6-No-8-Violin-2-Solo.pdf | Corelli-Xmas-Cto-G-Min-Op-6-No-8-Cello-Solo.pdf | Copy of Corelli-Xmas-Cto-G-Min-Op-6-No-8-Viola.pdf,
2024-3-Fall,,Finlandia,2024-3-Fall/Finlandia,10,1,1,VERSION-1,Finlandia-Ver-2.pdf | Finlandia-Ver-2-Violin-1.pdf | Finlandia-Ver-2-Violin-2.pdf | Finlandia-Ver-2-Cello-1.pdf | Finlandia-Ver-1-Violin-1.pdf | Finlandia-Ver-1-Violin-2.pdf | Finlandia-Ver-1.pdf | Finlandia-Ver-1-Cello-2.pdf,
2024-3-Fall,,Mozart-40,2024-3-Fall/Mozart-40,6,0,1,DO-NOT-USE--VERSION-1,Mozart-40-7-Voices-Ver-2-Viola-2.pdf | Mozart-40-7-Voices-Ver-2-Viola-1.pdf | Mozart-40-7-Voices-Ver-2-Cello-2.pdf | Mozart-40-7-Voices-Ver-2-Violin-1.pdf | Mozart-40-7-Voices-Ver-2-Violin-2.pdf | Mozart-40-7-Voices-Ver-2-Violin-3.pdf,HAS-SKIP-DIR:DO-NOT-USE--VERSION-1
2024-3-Fall,,Up-Theme-Married-Life,2024-3-Fall/Up-Theme-Married-Life,7,0,0,,Married-Life-7-Voices-Ver-1-Cello-1.pdf | Married-Life-7-Voices-Ver-1-Cello-2.pdf | Married-Life-7-Voices-Ver-1-Violin-2.pdf | Married-Life-7-Voices-Ver-1-Viola-1.pdf | Married-Life-7-Voices-Ver-1-Violin-3.pdf | Married-Life-7-Voices-Ver-1-Violin-1.pdf | Married-Life-7-Voices-Ver-1-Viola-2.pdf,
2025-1-Winter,,Jurassic-Park,2025-1-Winter/Jurassic-Park,6,1,0,,Jurassic-Ver-1.pdf | Jurassic-Ver-1-Viola-1.pdf | Jurassic-Ver-1-Violin-2.pdf | Jurassic-Ver-1-Violin-3.pdf | Jurassic-Ver-1-Cello-1.pdf | Jurassic-Ver-1-Cello-2.pdf | Jurassic-Park-2024-12-26.mscz,
2025-1-Winter,,Queen-of-Night-Mozart,2025-1-Winter/Queen-of-Night-Mozart,9,1,1,Mila_s Work,Queen-Night-Ver-1.pdf | Queen-Night-Ver-1-Violin-3.pdf | Queen-Night-Ver-1-Violin-2.pdf | Queen-Night-Ver-1-Viola-2.pdf | Queen-Night-Ver-1-Violin-1.pdf | Queen-Night-Ver-1-Viola-1.pdf | Queen-Night-Ver-1-Cello-2.pdf | Queen-Night-Ver-1-Cello-1.pdf,
2025-1-Winter,,Vivaldi-Cto-RV-565 (Chamber Group ONLY),2025-1-Winter/Vivaldi-Cto-RV-565 (Chamber Group ONLY),7,1,0,,Vivaldi-RV-565-Ver-1-Cello-Solo.pdf | Vivaldi-RV-565-Ver-1-Cello.pdf | Vivaldi-RV-565-Ver-1-Violin-1-Solo.pdf | Vivaldi-RV-565-Ver-1-Violin-1.pdf | Vivaldi-RV-565-Ver-1-Violin-2.pdf | Vivaldi-RV-565-Ver-1-Viola.pdf | Vivaldi-RV-565-Ver-1-Violin-2-Solo.pdf | Vivaldi-565-2024-12-26.mscz,
2025-2-Spring,,Djawadi-Game-Thrones,2025-2-Spring/Djawadi-Game-Thrones,5,1,1,Violin-2-B-PARTS-HERE,Game-Thrones-VER-1.pdf | Game-Thrones-VER-1-Cello-1.pdf | Game-Thrones-VER-1-Violin-2.pdf | Game-Thrones-VER-1-Violas.pdf | Game-Thrones-VER-1-Violin-1.pdf | Game-Thrones-VER-2.mscz,HAS-VN-2B-DIR:Violin-2-B-PARTS-HERE
2025-2-Spring,,Rossini-William-Tell,2025-2-Spring/Rossini-William-Tell,7,1,1,Violin-2-B-PARTS-HERE,William-Tell-VER-1.pdf | William-Tell-VER-1-Cello-1.pdf | William-Tell-VER-1-Cello-2.pdf | William-Tell-VER-1-Viola.pdf | William-Tell-VER-1-Violin-2.pdf | William-Tell-VER-1-Violin-3.pdf | William-Tell-VER-2.pdf | William-Tell-VER-2.mscz,HAS-VN-2B-DIR:Violin-2-B-PARTS-HERE
2025-2-Spring,,Saint-Saens-Symph-3-Mvt-2,2025-2-Spring/Saint-Saens-Symph-3-Mvt-2,7,0,1,Violin-2-B-PARTS-HERE,Saint-Saens-3-Mov-2-VER-1.pdf | Saint-Saens-3-Mov-2-VER-1-Violin-2.pdf | Saint-Saens-3-Mov-2-VER-1-Cello-1.pdf | Saint-Saens-3-Mov-2-VER-1-Violin-1.pdf | Saint-Saens-3-Mov-2-VER-1-Cello-2.pdf | Saint-Saens-3-Mov-2-VER-2-Violin-2B.pdf | Saint-Saens-3-Mov-2-VER-2.pdf,HAS-VN-2B-DIR:Violin-2-B-PARTS-HERE
2025-2-Spring,,Vivaldi-Cto-RV-522 (Chamber Group ONLY),2025-2-Spring/Vivaldi-Cto-RV-522 (Chamber Group ONLY),7,1,1,SOURCE-MATERIALS,Vivaldi-Cto-2-Vlns-RV-522-Solo-Vln-2.pdf | Vivaldi-Cto-2-Vlns-RV-522-Cello.pdf | Vivaldi-Cto-2-Vlns-RV-522-Violin-1.pdf | Vivaldi-Cto-2-Vlns-RV-522-VIOLA-LARGE.pdf | Vivaldi-Cto-2-Vlns-RV-522-BASS-LARGE.pdf | Vivaldi-Cto-2-Vlns-RV-522-Viola.pdf | Vivaldi-Cto-2-Vlns-VER-2-RV-522.pdf | Vivaldi-Cto-2-Vlns-RV-522.mscz,HAS-SOURCE-DIR:SOURCE-MATERIALS
2025-3-Fall,ALPHA,1812 Overture,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/1812 Overture,5,0,2,1812-NEW-PARTS-10-29 | OLD-PARTS,1812-Tchaik-10-29-CELLO-1.pdf | 1812-Tchaik-10-29-CELLO-2.pdf | 1812-Tchaik-10-29-VIOLIN-3.pdf | 1812-Tchaik-10-29-SCORE.pdf | 1812-Tchaik-10-29-VIOLIN-1.pdf,HAS-SKIP-DIR:OLD-PARTS
2025-3-Fall,ALPHA,Brandenburg-3-Bach,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Brandenburg-3-Bach,11,0,1,ORIG-PARTS-&-XML-FILES,Brandenburg-3-[ver-1]-CELLO.pdf | Brandenburg-3-[ver-1]-SCORE.pdf | Brandenburg-3-[ver-1]-VIOLIN-2.pdf | Brandenburg-3-[ver-1]-VIOLIN-1.pdf | Brandenburg-3-[ver-1]-VIOLA.pdf | Brandenburg-3-[ver-1]-PIANO.pdf | Brandenburg-3-Cello.pdf | Brandenburg-3-Bass.pdf,
2025-3-Fall,ALPHA,Mia & Sebastian_s Theme,2025-3-Fall/ALPHA_ 2025 Fall SRYSO/Mia & Sebastian_s Theme,5,1,0,,Cello I Mia & Sebastian.pdf | Viola Mia & Sebastian.pdf | Violin III Mia & Sebastian.pdf | Violin II Mia & Sebastian.pdf | Violin I Mia & Sebastian.pdf | mia_sebastian_s_theme_arrangement.mscz,
2025-3-Fall,OMEGA,Dvorak-Serenade-Waltz,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Dvorak-Serenade-Waltz,5,0,0,,Dvorak-Serenade-Waltz-VIOLA.pdf | Dvorak-Serenade-Waltz-SCORE.pdf | Dvorak-Serenade-Waltz-CELLO.pdf | Dvorak-Serenade-Waltz-VIOLIN-2.pdf | Dvorak-Serenade-Waltz-VIOLIN-1.pdf,
2025-3-Fall,OMEGA,Eroica,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Eroica,3,0,0,,Eroica - Viola.pdf | Eroica - Cello.pdf | Eroica - Full Score.pdf,
2025-3-Fall,OMEGA,Holberg-Suite-Prelude,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Holberg-Suite-Prelude,3,0,0,,Holberg-Suite-Prelude-VIOLIN-1.pdf | Holberg-Suite-Prelude-CELLO.pdf | Holberg-Suite-Prelude-VIOLIN-2.pdf,
2025-3-Fall,OMEGA,Jingle Bells,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/Jingle Bells,4,0,0,,Cellos - Jingle Bells - SRYSO.pdf | Violins_1 - Jingle Bells - SRYSO.pdf | Violins_2 - Jingle Bells - SRYSO.pdf | Violas - Jingle Bells - SRYSO.pdf,
2025-3-Fall,OMEGA,The Crown,2025-3-Fall/OMEGA_ 2025 Fall SRYSO/The Crown,4,0,0,,The Crown - Cello.pdf | The Crown - Viola.pdf | The Crown - Conductor Score (Full Score).pdf | The Crown - Violin 2.pdf,
2025-3-Fall,PRE-ORCHESTRA,Judas-Maccabaeus,2025-3-Fall/PRE-ORCHESTRA_ 2025 Fall SRYSO/Judas-Maccabaeus,3,0,0,,Chorus-Judas-Maccabaeus-VIOLIN-1.pdf | Chorus-Judas-Maccabaeus-VIOLIN-2.pdf | Chorus-Judas-Maccabaeus-SCORE.pdf,
2025-3-Fall,PRE-ORCHESTRA,Musette,2025-3-Fall/PRE-ORCHESTRA_ 2025 Fall SRYSO/Musette,3,0,0,,Musette-SCORE.pdf | Musette-VIOLIN-2.pdf | Musette-VIOLIN-1.pdf,
2026-1-Winter,ALPHA,ALPHA-BOWINGS-VERY-LIMITED-AS-YET,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/ALPHA-BOWINGS-VERY-LIMITED-AS-YET,1,0,0,,JUPITER-VN-2-BOWINGS.pdf,
2026-1-Winter,ALPHA,Jupiter-Hymn-Holst,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Jupiter-Hymn-Holst,5,1,1,Jupiter-MP3s,Jupiter-Hymn-Ver-2-SCORE.pdf | Jupiter-Hymn-Ver-2-Violin-1.pdf | Jupiter-Hymn-Ver-2-Violin-2.pdf | Jupiter-Hymn-Ver-2-Cello.pdf | Jupiter-Hymn-Ver-2-Viola.pdf | jupiter-hymn.mscz,
2026-1-Winter,ALPHA,Swan-Lake-Tchaikovsky,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Swan-Lake-Tchaikovsky,6,0,0,,Swan Lake - 2nd Violin.pdf | Swan Lake - 3rd Violin (Viola [TC]).pdf | Swan Lake - String Bass.pdf | Swan Lake - Viola.pdf | Swan Lake - Score.pdf | Swan Lake - Cello.pdf,
2026-1-Winter,ALPHA,Wishing-Ffrench,2026-1-Winter/ALPHA_ 2026 Winter SRYSO/Wishing-Ffrench,4,1,2,OLD-V3-IGNORE | Wishing-MP3s,Wishing-Ver-4-Vc-1.pdf | Wishing-Ver-4-Vc-2.pdf | Wishing-Ver-4-SCORE.pdf | Wishing-Ver-4-Vla.pdf | Wishing-Ver-4.mscz,HAS-SKIP-DIR:OLD-V3-IGNORE
2026-1-Winter,OMEGA,Bartok-Romanian-Dances,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Bartok-Romanian-Dances,10,2,3,Bartok-MP3s | BARTOK-VERSION-1 | BARTOK-VERSION-2,Jianni-Bowings-Bartok-1-4.pdf | Bartok-Romanian-Dances-VIOLA.pdf | Bartok-Romanian-Dances-VIOLIN-1.pdf | Bartok-Romanian-Dances-CELLO.pdf | Bartok-Romanian-Dances-SCORE.pdf | Bartok-Romanian-Dances-VIOLIN-SOLO.pdf | Bartok-Romanian-Dances-Ver-2-VIOLIN-SOLO.pdf | Bartok-Romanian-Dances-Ver-2-SCORE.pdf,
2026-1-Winter,OMEGA,Howls-Moving-Castle,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Howls-Moving-Castle,8,2,2,Howl-MP3s | HOWL-VERSION-2,Howls-Moving-Castle-Ver-3-SCORE.pdf | Howls-Moving-Castle-Ver-3-Cello.pdf | Howls-Moving-Castle-Ver-3-Violin-1.pdf | Howls-Moving-Castle-Ver-3-Violin-2.pdf | Howls-Moving-Castle-Ver-3-Viola.pdf | Howls-Moving-Castle-Ver-2-Cello.pdf | Howls-Moving-Castle-Ver-2-Violin-1.pdf | Howls-Moving-Castle-Ver-2-Violin-2.pdf,
2026-1-Winter,OMEGA,Rachmaninoff-Prelude,2026-1-Winter/OMEGA_ 2026 Winter SRYSO/Rachmaninoff-Prelude,4,0,0,,Rachmaninoff-Prelude-SCORE.pdf | Rachmaninoff-Prelude-CELLO.pdf | Rachmaninoff-Prelude-VIOLIN-1.pdf | Rachmaninoff-Prelude-VIOLA.pdf,
2026-1-Winter,PRE-ORCHESTRA,Musette,2026-1-Winter/PRE-ORCHESTRA/Musette,3,0,0,,Musette-Piano.pdf | Musette-Violins-2-4.pdf | Musette-Violin-1.pdf,
2026-2-Spring,ALPHA,Eine-Kleine-Nachtmusik,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Eine-Kleine-Nachtmusik,5,1,1,Eine-Kleine-MP3s,Eine-Kleine-REV-4-Viola.pdf | Eine-Kleine-REV-4-Violin-1.pdf | Eine-Kleine-REV-5-Cello-2.pdf | Eine-Kleine-REV-5-Cello-1.pdf | Eine-Kleine-REV-5-SCORE.pdf | Eine-Kleine-REV-5.mscz,
2026-2-Spring,ALPHA,Interstellar,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Interstellar,8,0,0,,Interstellar-Cello-2.pdf | Interstellar-Violin-1.pdf | Interstellar-FULL-SCORE.pdf | Interstellar-Cello-1.pdf | Interstellar-Violin-2.pdf | Interstellar-Vibraphone-1.pdf | Interstellar-Viola.pdf | Interstellar-Vibraphone-2.pdf,
2026-2-Spring,ALPHA,Star-Wars-Main-Theme,2026-2-Spring/ALPHA_ 2026 Spring SRYSO/Star-Wars-Main-Theme,5,1,1,Star-Wars-Theme-MP3s,Star-Wars-Ver-3-SCORE.pdf | Star-Wars-Ver-3-Viola.pdf | Star-Wars-Ver-3-Cello-1.pdf | Star-Wars-Ver-3-Violin-2.pdf | Star-Wars-Ver-3-Cello-2.pdf | Star-Wars-Ver-3.mscz,
2026-2-Spring,OMEGA,Brandenburg-3-Mvt-3,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Brandenburg-3-Mvt-3,8,1,3,IMSLP-JUNK--IGNORE | VER-3 | VER-4,Brandenburg-3-Mvt-3-Rev-5-Violin-1.pdf | Brandenburg-3-Mvt-3-Rev-5-Cello.pdf | Brandenburg-3-Mvt-3-Rev-5-Violin-2.pdf | Brandenburg-3-Mvt-3-Rev-5-SCORE.pdf | Brandenburg-3-Mvt-3-Rev-6-Viola-1.pdf | Brandenburg-3-Mvt-3-Rev-5-Viola-1.pdf | Brandenburg-3-Mvt-3-Rev-5-Viola-2.pdf | Brandenburg-3-Mvt-3-Rev-5-Viola-3.pdf,HAS-SKIP-DIR:IMSLP-JUNK--IGNORE
2026-2-Spring,OMEGA,Kikis-Delivery-Service,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Kikis-Delivery-Service,5,0,2,PREP-VERSIONS-IGNORE | VERSION-1--IGNORE,Hisaishi-Kiki-VER-2-Violin-1.pdf | Hisaishi-Kiki-VER-2-Viola.pdf | Hisaishi-Kiki-VER-2-Violin-2.pdf | Hisaishi-Kiki-VER-2-Cello.pdf | Hisaishi-Kiki-VER-2-SCORE.pdf,HAS-SKIP-DIR:PREP-VERSIONS-IGNORE | HAS-SKIP-DIR:VERSION-1--IGNORE
2026-2-Spring,OMEGA,Tchaikovsky-Andante,2026-2-Spring/OMEGA_ 2026 Spring SRYSO/Tchaikovsky-Andante,6,0,0,,Tchai-Andante-Full-Score.pdf | Tchai-Andante-Violin-2.pdf | Tchai-Andante-Violin-1.pdf | Tchai-Andante-Bass-(Cello-2).pdf | Tchai-Andante-Viola.pdf | Tchai-Andante-Cello.pdf,
MUSESCORE-MSCZ-FILES,,2025-SPRING,MUSESCORE-MSCZ-FILES/2025-SPRING,0,6,2,ISAAC-REWRITES | JAMES-ORIG,symphony_3_2ndmov_Saint-Saens_Fullscore_WITH_CUT.mscz | Game-Thrones-JAMES-ORIG.mscz | William-Tell-Overture-SRYSO.mscz | Symphony No. 3_SRYSO.mscz | Saint-Saens-3-Mov-2-VER-1.mscz | William-Tell-VER-1.mscz,
MUSESCORE-MSCZ-FILES,,2025-WINTER,MUSESCORE-MSCZ-FILES/2025-WINTER,0,2,2,Score-Originals-James | Winter 2025_ James_Originals,Tannhauser-Overture-SRYSO-James.mscz | Jurassic-Park-SRYSO-James.mscz,
